,prot,filename,plddt,rmsd,wrmsd,type,rmsd_rank,designable,designable_w
1009,AF-U7QEP9-F1,sample_10,87.18364261168385,0.4875958463961048,0.340356720453508,AFDB (dark),1.0,1,1
1018,AF-E6TYM6-F1,sample_2,87.10545593869732,0.6044771854093185,0.503632891256911,AFDB (dark),1.0,1,1
1027,AF-A0A7W0XAZ5-F1,sample_1,68.79454545454546,4.214530444029934,3.9467473557575703,AFDB (dark),1.0,0,0
1041,AF-A0A2N8MPV7-F1,sample_10,84.10287605294825,0.9322407509643128,0.5274049705787685,AFDB (dark),1.0,1,1
1055,AF-A0A442J135-F1,sample_8,81.53750315258512,1.3667346600753143,0.6049836883679969,AFDB (dark),1.0,1,1
1060,AF-A0A523HN69-F1,sample_1,83.97033915724563,0.5075705661841798,0.4270730249203682,AFDB (dark),1.0,1,1
1068,AF-A0A517M6I6-F1,sample_7,90.32922693266832,1.6174492333624302,0.675665089375903,AFDB (dark),1.0,1,1
1084,AF-A0A2N2XXS7-F1,sample_2,83.29090787716956,0.7867964494474328,0.5795815763936476,AFDB (dark),1.0,1,1
1093,AF-W6K012-F1,sample_1,78.36043421905379,1.632279794741183,0.903550964876489,AFDB (dark),1.0,1,1
1103,AF-A0A0B7NM37-F1,sample_4,79.14975470871661,2.7222200169633637,1.5979055727443718,AFDB (dark),1.0,0,1
1117,AF-A0A4V3ID48-F1,sample_2,80.90132127955494,6.549595214611076,3.4643729923494813,AFDB (dark),1.0,0,0
1132,AF-A0A512BGQ5-F1,sample_8,87.40381818181818,0.2890093704175561,0.2256523661660203,AFDB (dark),1.0,1,1
1140,AF-A0A7L9BY33-F1,sample_2,82.6691904445919,7.734315199743286,6.363856692543511,AFDB (dark),1.0,0,0
1150,AF-A0A4R2ZT08-F1,sample_2,64.09399274047188,3.1212048181940975,1.71274456553372,AFDB (dark),1.0,0,0
1155,AF-A0A1H9JJ57-F1,sample_6,82.81775584795322,1.9958537447138267,1.2579071464769052,AFDB (dark),1.0,1,1
1176,AF-A0A4Q1DBU6-F1,sample_8,81.81255772646537,1.3053612339643308,0.3553824765498761,AFDB (dark),1.0,1,1
1182,AF-A0A1N7QTM7-F1,sample_3,86.40876513317193,1.2119296542989746,0.9414791410296072,AFDB (dark),1.0,1,1
1191,AF-A0A432W6J4-F1,sample_4,71.22500378501137,11.981254245971932,2.7246772156471164,AFDB (dark),1.0,0,0
1208,AF-A0A5J6Z9H1-F1,sample_9,87.47110683349374,0.5836881635904428,0.3594444686994775,AFDB (dark),1.0,1,1
1219,AF-A0A561RHM9-F1,sample_8,87.88419273034657,0.4222726761357585,0.2910059123384496,AFDB (dark),1.0,1,1
1221,AF-A0A522UUM1-F1,sample_6,82.75614942528736,0.752701734964848,0.47339860691229,AFDB (dark),1.0,1,1
1240,AF-A0A2A9GJH5-F1,sample_10,83.0617113893858,1.1297865943928826,0.6309371237063778,AFDB (dark),1.0,1,1
1246,AF-A0A1J4UFI7-F1,sample_4,85.86376980817349,0.6080247253470008,0.4128881500048914,AFDB (dark),1.0,1,1
1264,AF-A0A7C3PT19-F1,sample_8,95.53369925671812,0.3486280745255234,0.2941475590761673,AFDB (dark),1.0,1,1
1275,AF-A0A0N1BGU2-F1,sample_8,82.72233532934132,0.8482565014558093,0.3568000247469307,AFDB (dark),1.0,1,1
1280,AF-R6PG35-F1,sample_1,55.29206896551724,4.765537048519653,4.285727126422695,AFDB (dark),1.0,0,0
1292,AF-G4QGJ9-F1,sample_3,80.51705197827775,14.220370188415524,6.6302643755666315,AFDB (dark),1.0,0,0
1300,AF-A0A849WBS1-F1,sample_5,79.37172109443955,1.1830573792753143,0.7991163535029366,AFDB (dark),1.0,1,1
1310,AF-A0A3A9GJ22-F1,sample_7,75.83094820017558,2.207974947029637,0.7954432252704294,AFDB (dark),1.0,0,1
1324,AF-C0QHI7-F1,sample_1,70.05494068387998,1.4397577580244103,1.0338803436425446,AFDB (dark),1.0,1,1
1334,AF-A0A238J2J8-F1,sample_4,89.20491851851853,0.3656131305847669,0.2597111931858636,AFDB (dark),1.0,1,1
1351,AF-A0A5R9E9Q8-F1,sample_9,86.87871468926554,0.5600169226921998,0.4507756011099957,AFDB (dark),1.0,1,1
1361,AF-A0A1T0A954-F1,sample_9,71.78415798134942,1.51341376547115,1.0856514779438875,AFDB (dark),1.0,1,1
1367,AF-A0A538B2W3-F1,sample_4,72.09381981981983,4.881569223166406,2.559602388538829,AFDB (dark),1.0,0,0
1381,AF-A0A5P9NH34-F1,sample_2,81.30532137518684,1.3625275390042368,1.0425189998294364,AFDB (dark),1.0,1,1
1386,AF-A0A814JJP2-F1,sample_6,65.95737783075089,14.084383459200202,13.528581054860192,AFDB (dark),1.0,0,0
1397,AF-A0A3M1H3G0-F1,sample_6,45.6121628959276,8.811119101675978,7.88808775213549,AFDB (dark),1.0,0,0
1412,AF-A0A2G8DL12-F1,sample_1,46.93527896995708,6.2987773541019925,3.552833488411191,AFDB (dark),1.0,0,0
1429,AF-A0A2A9KPF3-F1,sample_8,88.31684696569921,0.3600892818714075,0.3257528707259244,AFDB (dark),1.0,1,1
1430,AF-A0A2H0URT8-F1,sample_6,90.00833423765599,5.555849607839452,1.1175338958857657,AFDB (dark),1.0,0,1
1445,AF-A0A2U9T134-F1,sample_4,79.72986068111454,1.2992042790051743,0.4036020205740951,AFDB (dark),1.0,1,1
1457,AF-A0A534Q1G6-F1,sample_3,61.02588528678304,3.0466904776188266,2.4033382584924174,AFDB (dark),1.0,0,0
1468,AF-A0A5D4XR27-F1,sample_3,85.05180731889469,2.217989732671638,0.9807978018085984,AFDB (dark),1.0,0,1
1475,AF-A0A2N5B313-F1,sample_7,77.75654008438816,4.774553085313457,2.534489014201742,AFDB (dark),1.0,0,0
1494,AF-A0A5F2DU80-F1,sample_8,89.78980297933687,3.549958551147759,3.012541988469114,AFDB (dark),1.0,0,0
1505,AF-A0A161XWX6-F1,sample_9,83.8636356340289,0.5416722533296526,0.4725783405728651,AFDB (dark),1.0,1,1
1514,AF-A0A2H9MRU5-F1,sample_10,79.19988063660477,0.8930307580867411,0.5573840239507444,AFDB (dark),1.0,1,1
1522,AF-A0A5M6CR80-F1,sample_1,76.05586726998492,1.5668569941606985,0.6460805237135062,AFDB (dark),1.0,1,1
1534,AF-A0A351UKE3-F1,sample_1,49.55958214081282,10.556029542634246,9.505266619051596,AFDB (dark),1.0,0,0
1550,AF-A0A4R9J401-F1,sample_8,50.98033898305084,5.106278148829719,3.860840249390695,AFDB (dark),1.0,0,0
1561,AF-A0A7A2X221-F1,sample_8,73.16954198473282,4.037447294586905,1.0479624079057075,AFDB (dark),1.0,0,1
1567,AF-A0A651I473-F1,sample_1,63.64864101022249,8.884639433132104,8.188711701261573,AFDB (dark),1.0,0,0
1577,AF-M2SB47-F1,sample_1,59.83878048780489,3.418925993815495,1.202748164003582,AFDB (dark),1.0,0,0
1586,AF-A0A1Q3Q2V8-F1,sample_5,78.45486363636363,7.486728084720992,2.230390841723871,AFDB (dark),1.0,0,0
1600,AF-A0A6I4L1X2-F1,sample_3,37.79423336547733,12.426936850772687,8.502000591025146,AFDB (dark),1.0,0,0
1609,AF-K9Q3S3-F1,sample_4,61.09167577413479,1.5248422018670351,0.7785339652439499,AFDB (dark),1.0,0,0
1627,AF-A0A1E2VBS0-F1,sample_8,77.69358591248664,2.863131718075272,2.183762035171308,AFDB (dark),1.0,0,0
1637,AF-A0A2V8LMD7-F1,sample_9,65.47426419965576,3.2659046427156504,2.5342668228334264,AFDB (dark),1.0,0,0
1648,AF-A0A562V569-F1,sample_9,80.38983561643836,1.7281483312464037,0.9378405656661664,AFDB (dark),1.0,1,1
1660,AF-A0A5C8JG85-F1,sample_8,82.1484287099903,1.0990975091705597,0.473530836275252,AFDB (dark),1.0,1,1
1671,AF-A0A7I8CWF5-F1,sample_8,76.51800461361015,1.26490746972075,0.4100884504750799,AFDB (dark),1.0,1,1
1673,AF-A0A2C1JNS2-F1,sample_7,86.81052666227781,1.3720011129872116,0.8012268090748041,AFDB (dark),1.0,1,1
1683,AF-A0A535GUR9-F1,sample_6,75.8519305856833,19.522646963409365,19.30701390394662,AFDB (dark),1.0,0,0
1697,AF-A0A5C1W528-F1,sample_5,44.55817109144543,9.639582249517249,8.623104262868125,AFDB (dark),1.0,0,0
1709,AF-A0A0P6XCU8-F1,sample_1,85.45648678414096,1.0296885939371612,0.4063935010649543,AFDB (dark),1.0,1,1
1725,AF-Q12XJ0-F1,sample_9,91.50008539325844,3.0293651988834776,2.057001332321571,AFDB (dark),1.0,0,0
1737,AF-R9WIE4-F1,sample_8,81.07669757856775,1.017653070279682,0.6676603243380685,AFDB (dark),1.0,1,1
1741,AF-A0A514XDZ1-F1,sample_4,50.72138341264446,9.931788896944452,3.4937688912641125,AFDB (dark),1.0,0,0
1750,AF-A0A7C4NVN1-F1,sample_6,86.59909747292417,4.160129663770922,3.1659539934964385,AFDB (dark),1.0,0,0
1763,AF-A0A7G7ATF3-F1,sample_4,85.43194845360826,0.5702238007447233,0.5021915180907136,AFDB (dark),1.0,1,1
1777,AF-A0A0G0NS49-F1,sample_2,48.13463289698349,12.029830063202937,11.594883105935883,AFDB (dark),1.0,0,0
1782,AF-A0A7V1ULR7-F1,sample_6,63.2878721859114,4.805545697302577,2.041140610025253,AFDB (dark),1.0,0,0
1795,AF-A0A0G3HF14-F1,sample_5,73.16087895142637,2.0990230543048907,1.2916326110174,AFDB (dark),1.0,0,1
1814,AF-A0A3E0D3I9-F1,sample_8,64.3953664495114,7.381120824133617,4.283227084101123,AFDB (dark),1.0,0,0
1816,AF-A0A830GSN9-F1,sample_7,82.96277970011535,2.360377076956797,0.8680366584320727,AFDB (dark),1.0,0,1
1834,AF-A0A849DCT2-F1,sample_10,87.7720355191257,0.8335934268245894,0.6457266422466988,AFDB (dark),1.0,1,1
1846,AF-A0A547P6Y0-F1,sample_9,76.95591085271317,2.5272557730179854,2.1656236493161103,AFDB (dark),1.0,0,0
1856,AF-A0A147K5Z1-F1,sample_10,75.40826028320971,1.741931732457347,1.5745924537486689,AFDB (dark),1.0,1,1
1867,AF-A0A6P0TDK7-F1,sample_9,83.40205223880596,0.4666853406991214,0.3104634265654451,AFDB (dark),1.0,1,1
1871,AF-A0A514BZB7-F1,sample_7,58.70283720930233,5.06632602439511,4.983845776711943,AFDB (dark),1.0,0,0
1887,AF-A0A3M2A0K1-F1,sample_2,81.67738596491228,2.099577356631824,0.7111594209648964,AFDB (dark),1.0,0,1
1900,AF-A0A3S5E9J0-F1,sample_10,81.32726141078838,2.881637243755499,1.354545600332274,AFDB (dark),1.0,0,1
1912,AF-A0A7C5U283-F1,sample_9,84.51966350301984,0.5795396133653647,0.4558847995519597,AFDB (dark),1.0,1,1
1917,AF-X0SNL1-F1,sample_4,85.36161785216179,0.5135579153812612,0.4036426760487119,AFDB (dark),1.0,1,1
1934,AF-A0A381IWZ1-F1,sample_9,87.78397883597884,0.6446176394667955,0.5317849437799833,AFDB (dark),1.0,1,1
1944,AF-A0A7C3CIN4-F1,sample_10,88.36919466975665,0.5164392323605456,0.3944393029831714,AFDB (dark),1.0,1,1
1955,AF-A0A6A7LX33-F1,sample_10,80.80761692650334,1.507060041317038,0.7200084408785294,AFDB (dark),1.0,1,1
1964,AF-A0A365YZP9-F1,sample_3,71.24097328244275,1.757341633773871,0.9702977076665692,AFDB (dark),1.0,1,1
1974,AF-A0A420VDI2-F1,sample_1,87.12767260579064,0.4360948373322295,0.3613983303011805,AFDB (dark),1.0,1,1
1984,AF-A0A1M3LT34-F1,sample_1,84.7519347826087,0.5382811397356093,0.4196591488305233,AFDB (dark),1.0,1,1
1995,AF-A0A0Q8D6D4-F1,sample_1,87.66041254125412,1.963930096698637,0.4599712515262035,AFDB (dark),1.0,1,1
2012,AF-I0V1B3-F1,sample_8,74.34358778625955,2.51055929330839,1.7346765217891962,AFDB (dark),1.0,0,1
2013,AF-A0A1H4MFV5-F1,sample_6,86.45620648259305,0.5691027809861359,0.4602109683381898,AFDB (dark),1.0,1,1
2030,AF-A0A177KI94-F1,sample_2,62.85220293724967,6.222788007727448,2.0907583494162005,AFDB (dark),1.0,0,0
2041,AF-H2BZY4-F1,sample_2,84.20424258198854,0.7797148137663231,0.4272992238806969,AFDB (dark),1.0,1,1
2050,AF-A0A6I5ZTL8-F1,sample_1,72.18119309262165,10.053273250231246,9.883200109586491,AFDB (dark),1.0,0,0
2057,AF-A0A1M7NRG1-F1,sample_6,82.8542066027689,0.5009182430036577,0.3721898868701023,AFDB (dark),1.0,1,1
2074,AF-A0A497Q075-F1,sample_2,39.61943970767357,13.697759733005771,10.306676397559936,AFDB (dark),1.0,0,0
2079,AF-A0A4P5VMG7-F1,sample_6,63.17769293924467,13.229704715300649,4.300232738072126,AFDB (dark),1.0,0,0
2093,AF-J2U7V8-F1,sample_4,81.75230985915492,4.0008886418504765,2.142331954755794,AFDB (dark),1.0,0,0
2109,AF-A0A6M0B9M4-F1,sample_10,84.8485848074922,0.5025675607209306,0.4638181191446194,AFDB (dark),1.0,1,1
2114,AF-A0A5C8WDZ7-F1,sample_5,71.53233634311512,7.981071980927071,6.57009719193482,AFDB (dark),1.0,0,0
2128,AF-A0A847YUF4-F1,sample_3,84.36142437591776,0.4923193800091997,0.4020676895259664,AFDB (dark),1.0,1,1
2140,AF-A0A0G1QQU2-F1,sample_2,77.13790445168296,2.145168154739491,1.5677085648902784,AFDB (dark),1.0,0,1
2147,AF-A0A292RFP7-F1,sample_5,78.01632476162959,2.619057525080389,1.0409752190431978,AFDB (dark),1.0,0,1
2159,AF-A0A3Q9UXD7-F1,sample_4,86.13304195804196,0.371249316785234,0.3383580022839269,AFDB (dark),1.0,1,1
2170,AF-A0A1E4AQ62-F1,sample_4,76.63403162055336,1.0666472054179543,0.4976932252150559,AFDB (dark),1.0,1,1
2181,AF-A0A8A6LEJ6-F1,sample_4,71.83428884026257,6.715181282003901,4.192230375857218,AFDB (dark),1.0,0,0
2189,AF-A0A7C1DKZ8-F1,sample_6,87.03896728016359,0.9721082319754484,0.8354800544112021,AFDB (dark),1.0,1,1
2204,AF-A0A5K7WTM2-F1,sample_1,69.09268768768769,3.071505521427555,0.97315711842848,AFDB (dark),1.0,0,0
2213,AF-A0A497EHZ8-F1,sample_5,88.08643153526971,0.5651134273911838,0.5106449648438612,AFDB (dark),1.0,1,1
2229,AF-A0A0D0SG32-F1,sample_2,90.09092649783818,0.5012396944502931,0.4527041131047767,AFDB (dark),1.0,1,1
2233,AF-A0A7X8WJU7-F1,sample_6,66.34296508598229,2.135088448511276,1.3099102804395035,AFDB (dark),1.0,0,0
2254,AF-A0A373KQ01-F1,sample_8,82.3878153846154,0.6706890461152993,0.3371288906706357,AFDB (dark),1.0,1,1
2256,AF-A0A4Y2LIQ3-F1,sample_7,53.16657506702413,9.135795389651456,5.253277075799284,AFDB (dark),1.0,0,0
2275,AF-A0A836X8S9-F1,sample_9,73.81595604395605,3.0494223293009273,1.3758190714109402,AFDB (dark),1.0,0,1
2281,AF-V4JVW0-F1,sample_1,80.48840650406504,1.358265325058147,0.541783007833259,AFDB (dark),1.0,1,1
2296,AF-A0A2T5VG30-F1,sample_10,88.63161449752883,1.636615952679763,0.5804413191612522,AFDB (dark),1.0,1,1
2300,AF-A0A845WXG3-F1,sample_7,79.98727729885059,2.101067599715355,0.9378337297850832,AFDB (dark),1.0,0,1
2319,AF-A0A2W5RMS5-F1,sample_9,84.54148005148005,2.5930956509737406,0.5473583140093283,AFDB (dark),1.0,0,1
2325,AF-A0A8B3JXF1-F1,sample_4,78.40701935483871,2.367424748653817,0.7563160384714163,AFDB (dark),1.0,0,1
2332,AF-A0A3R7EM75-F1,sample_6,79.42476744186045,0.8002922929165259,0.7063271987260441,AFDB (dark),1.0,1,1
2346,AF-A0A7C7BR44-F1,sample_4,81.72846767757382,0.7431911142184671,0.5379670167134005,AFDB (dark),1.0,1,1
2357,AF-A0A844Z8K7-F1,sample_4,78.05015765765766,0.8766325839641882,0.4607825686374009,AFDB (dark),1.0,1,1
